anamnesis,disease
"Здравствуйте, я чувствую себя не очень хорошо. У меня болит горло и я заметил, что у меня повысилась температура тела. Также у меня наблюдается слабость и усталость. Я не заметил никаких высыпаний на коже или кашля. В последние несколько дней я чувствую себя все хуже, но первые симптомы появились около недели назад. У меня нет хронических заболеваний, которые могут быть связаны с моей текущей болезнью.",инсульт
"Здравствуйте, я себя чувствую не очень хорошо. У меня болит ухо, и я заметил, что у меня снизился слух. Также у меня была слабость и небольшая головная боль. Я не испытывал тошноты, рвоты и не было повышенной температуры. Симптомы начали проявляться несколько дней назад, и постепенно мое состояние ухудшалось. У меня нет хронических заболеваний, но я обеспокоен своим текущим состоянием.",ангина
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. У меня бывает быстрый пульс и сердцебиение, иногда даже страшно. Это началось несколько недель назад, но последние дни симптомы стали более ярко проявляться. Я не замечал других симптомов, таких как кашель или головная боль. У меня нет хронических заболеваний, которые могут быть связаны с этим. Я надеюсь, что вы сможете мне помочь разобраться в моей проблеме и предложить лечение. Спасибо.",корь
"Здравствуйте, я себя чувствую не очень хорошо. Началось все с высыпаний на теле, которые были сопровождены зудом и болезненными ощущениями. Также у меня повысилась температура тела и появилась слабость. Я не обнаружил у себя никаких других симптомов, кроме этих. Эти симптомы начали проявляться несколько дней назад, и они постепенно усиливались с каждым днем. У меня нет хронических заболеваний, которые могут быть связаны с этим.",ветрянка
"Привет, я чувствую себя не очень хорошо. У меня было повышение температуры тела, кашель и насморк. Также у меня появилась сыпь на коже. Я не знаю, что это может быть, но я начал замечать симптомы несколько дней назад. Мое состояние ухудшалось с каждым днем, и я все еще чувствую себя слабым и уставшим. У меня нет хронических заболеваний, которые могут быть связаны с этим, но я очень беспокоюсь о своем здоровье и хотел бы узнать, что мне делать.",цистит
"Я не чувствую себя хорошо. Я чувствую сильную слабость в правой руке и ноге, и мне трудно говорить. Это началось только вчера вечером, когда я заметил, что не могу управляться со своей рукой. Сегодня утром мне стало еще хуже, я не могу ходить без помощи и мое лицо начало дергаться. У меня нет хронических заболеваний, которые могут быть связаны с этой проблемой. Я очень обеспокоен и хочу получить профессиональную медицинскую помощь.",тахикардия
"Здравствуйте, я недавно заметил, что чувствую себя очень усталым и слабым. Я часто становлюсь запыхавшимся даже после небольшой физической нагрузки, и у меня часто бывает сердцебиение. Я заметил, что у меня стало падать настроение и появилась небольшая депрессия. Я не заметил никаких других симптомов, таких как кровотечения или изменения веса. Я начал замечать эти симптомы примерно месяц назад. Мое состояние ухудшалось постепенно. У меня нет хронических заболеваний, которые могут быть связаны с моим текущим состоянием.",отит
"Здравствуйте доктор, я пришел на первичный прием, потому что я не чувствую себя хорошо. У меня боль в желудке и тошнота, иногда появляется изжога. Я заметил, что когда я ем слишком много жирной и пряной пищи, симптомы проявляются сильнее. Но у меня нет рвоты и не возникает боль в груди. Я заметил эти симптомы уже несколько недель назад, но они не прогрессировали, а стали более частыми. У меня нет хронических заболеваний, которые могут быть связаны с этими симптомами. Я очень беспокоюсь о своем здоровье и надеюсь, что вы сможете мне помочь.",анемия
"Здравствуйте, я пришел на прием, потому что чувствую дискомфорт в области мочевого пузыря. Почти всегда есть желание сходить в туалет, но выходит мало мочи и она выходит с болью. Некоторые разы температура тела повышалась, было ощущение слабости. Я уже несколько дней чувствую это состояние и оно не проходит. Но у меня нет болей в спине и животе, и я не заметил крови в моче.

Почти все последние дни было очень трудно держать себя в форме, из-за постоянного желания сходить в туалет. Моя ситуация действительно сильно влияет на мое настроение и качество жизни. Я также страдаю от хронических заболеваний желудка и аллергии, которые могут усугубить мое состояние. Я думаю, что первые симптомы начали проявляться около недели назад, и за это время они только усилились.",гастрит
"Здравствуйте, я не чувствую себя совсем хорошо. У меня была высокая температура и кашель, который не дает мне покоя. Также, у меня появилась сыпь на теле, которая начала распространяться. Я не испытываю боли в горле или затруднений с дыханием. Я заметил первые симптомы несколько дней назад, и они только ухудшаются. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим состоянием.",инсульт
"Здравствуйте, я пришел на первичный прием, потому что не чувствую себя хорошо. У меня боли в желудке, неприятные ощущения после еды, чувствую желудочное горение. Я также заметил, что у меня снизился аппетит в последнее время. Не было рвоты, и кровь в кале тоже не наблюдалось. Я заметил эти симптомы примерно две недели назад, и они не улучшаются. У меня нет хронических заболеваний, которые могут быть связаны с этими симптомами. Спасибо.",ангина
"Здравствуйте, я чувствую дискомфорт в области мочевого пузыря и постоянное желание на маленькую нужду. Проявилась слабая боль при мочеиспускании и небольшое покраснение вокруг мочевого отверстия. Я не заметил никаких других симптомов, таких как повышенная температура тела или тошнота. Начало симптомов заметил два дня назад и чувствую, что они только усиливаются. У меня нет хронических заболеваний, которые могут быть связаны с этими симптомами.",корь
"Здравствуйте, я пришел на первичный прием, потому что не чувствую себя хорошо. У меня болит горло и я чувствую легкую слабость. Симптомы начали проявляться несколько дней назад, я думал, что это просто простуда, но сегодня утром чувствую себя еще хуже. У меня нет кашля и насморка. Я беспокоюсь, потому что у меня не было ангины уже лет пять. У меня нет хронических заболеваний, которые могли бы быть связаны с этим, но я боюсь, что это может быть серьезнее, чем я думал.",ветрянка
"Здравствуйте, я пришел на прием, потому что начал ощущать боли в ухе и слышу хуже, чем обычно. Чувствую себя немного неуютно, из-за боли и дискомфорта в ухе. Начал замечать симптомы пару дней назад, когда ухо начало чесаться и чувствовать небольшую боль. Симптомы не усиливались, но и не проходили, и сейчас я осознаю, что что-то не так. Никаких головокружений или температуры я не замечал, но у меня есть хроническое заболевание синусит, которое, возможно, может повлиять на мое текущее состояние. Я надеюсь, что сможете помочь мне разобраться в этом.",цистит
"Здравствуйте, я не могу сказать точный диагноз, но я заметил некоторые изменения в своем самочувствии в последнее время. У меня часто начинает биться сердце быстрее, чем обычно, и я чувствую себя очень беспокойным и нервозным. Это началось несколько месяцев назад и стало происходить все чаще. Я не замечал других симптомов, таких как головокружение или болезненность в груди. У меня нет хронических заболеваний, которые могут быть связаны с этим. Я беспокоюсь, потому что это начинает мешать моей повседневной жизни.",тахикардия
"Здравствуйте, я пришел на прием, потому что чувствую себя не очень хорошо. Я заметил, что у меня часто бывает усталость, слабость и головокружения. Иногда мне кажется, что я не могу хорошо сосредоточиться на работе или учебе. Я не замечал никаких других симптомов, таких как боль в животе или головной боли, и у меня нет повышенной температуры. Мои первые симптомы начали проявляться несколько недель назад, и со временем они стали чаще возникать. У меня есть хроническое заболевание - гастрит, но я не думаю, что это может быть связано с моими текущими проблемами. Я надеюсь, что вы сможете помочь мне выяснить, что со мной происходит.",отит
"Здравствуйте, я не знаю точно, что со мной происходит, но я чувствую себя очень плохо. Началось все с высокой температуры и появления сыпи по всему телу. Сыпь была сначала маленькими пятнышками, а затем стала больше и зудом. Я также чувствую слабость и усталость. У меня не было кашля или насморка, и я не заметил ничего необычного с моим дыханием. В последние дни, моя температура стала опускаться, но сыпь все еще остается. Я не имею хронических заболеваний, но я слышал, что ветрянка может быть опасна для людей с ослабленной иммунной системой. Симптомы начались примерно неделю назад и постепенно усиливались.",анемия
"Я себя чувствую не очень хорошо. Началось все несколько дней назад, когда я стал чувствовать слабость в правой стороне тела. Сначала я не обратил на это внимания, думал, что это усталость. Но потом появилась головная боль и тошнота. Симптомы только усиливались, и я почувствовал, что что-то не так. Я не могу полностью согнуть правую руку, а нога еле держит меня на ногах. Но, к счастью, у меня нет боли в голове, и я не испытываю проблем со зрением или речью. Я не знаю, что это может быть, но я думал, что стоит обратиться к врачу. Я никогда раньше не сталкивался с подобными симптомами, и мне это действительно страшно. Я не могу нормально работать, и мне трудно пройти даже небольшие расстояния. У меня нет хронических заболеваний, которые могут быть связаны с этим состоянием.",гастрит
"Здравствуйте, я не чувствую себя совсем хорошо. У меня болит ухо и есть ощущение заложенности. Эти симптомы начали появляться пару дней назад и с тех пор только усиливались. Я также заметил, что у меня слабость и головная боль. Я не обращал внимание на свои уши ранее, и у меня нет хронических заболеваний, которые могут быть связаны с этим. Буду благодарен за вашу помощь.",инсульт
"Здравствуйте, я пришел на первичный прием. Я чувствую боль в горле, тяжесть и затруднения при глотании, а также повышенную температуру тела. Симптомы начали проявляться пару дней назад и постепенно усиливались. У меня не было кашля или насморка. Я не страдаю хроническими заболеваниями, но могу рассказать о своих проблемах со здоровьем, если это поможет в диагностике.",ангина
"Здравствуйте, я пришел на прием, потому что я чувствую сильный дискомфорт в области мочеполовой системы. У меня бывает частое и болезненное мочеиспускание, а также ощущение жжения при мочеиспускании. Я не заметил сильной боли в животе, но мое состояние действительно беспокоит меня. Симптомы начали проявляться несколько дней назад и с тех пор они прогрессировали. Я веду активный образ жизни, но у меня нет хронических заболеваний, которые могли бы быть связаны с моим текущим состоянием.",корь
"Здравствуйте, я себя чувствую не очень хорошо. Чувствую слабость и усталость, также меня беспокоят зуд и покраснения на коже. Симптомы начали проявляться примерно неделю назад, сначала было только небольшое покраснение, но потом оно стало распространяться по всему телу. Не было температуры, сильных болей в горле или кашля. У меня нет хронических заболеваний, но возможно связь с недавним контактом с больным. Я очень надеюсь, что вы сможете определить, что у меня не так и назначить мне лечение.",ветрянка
"Здравствуйте, я себя не очень хорошо чувствую. Недавно начали беспокоить желудочные боли и тошнота. Также есть небольшое повышение температуры и отсутствие аппетита. Но у меня нет рвоты и кишечных нарушений. Эти симптомы появились около недели назад и постепенно ухудшались. У меня есть хронические заболевания в пищеварительной системе, но не думаю, что они связаны с этой проблемой. Буду благодарен, если вы сможете мне помочь.",цистит
"Здравствуйте, я пришел на прием, потому что чувствую себя очень плохо. У меня есть высокая температура и кашель, а также появилась сыпь на коже, которая стала все больше распространяться по телу. Сначала эти симптомы начали проявляться несколько дней назад, но затем они стали хуже, и я чувствую себя очень слабым и усталым. Я не заметил каких-либо других симптомов, кроме тех, о которых я уже упомянул. У меня нет хронических заболеваний, но я слышал, что корь может быть очень опасным для людей, поэтому я решил обратиться к вам за помощью.",тахикардия
"Здравствуйте, я чувствую себя не очень хорошо. У меня быстрый пульс и сердцебиение. Я заметил, что часто начинаю дышать быстрее, чувствую себя напряженным. Некоторое время назад начал замечать эти симптомы, но они становятся все более заметными. У меня нет болей в груди и головокружения. Я никогда раньше не сталкивался с подобными симптомами. У меня есть хроническое заболевание сердца, но не думаю, что это связано с моим текущим состоянием. Я очень обеспокоен этими симптомами и хочу узнать, что мне делать, чтобы стабилизировать свое состояние.",отит
"Здравствуйте, я не совсем уверен в своем состоянии и хотел бы получить консультацию. Я чувствую себя усталым и слабым в последнее время, часто просыпаюсь по утрам с головной болью. У меня бывает одышка и сердцебиение после минимальных физических нагрузок, таких как подъем по лестнице. Я заметил, что у меня было сильное желание есть лед и мелкую крошку. Но при этом у меня не было никаких сильных болей или температуры. Я не уверен, когда началось мое состояние, но оно продолжалось уже несколько месяцев, постепенно ухудшаясь. У меня нет хронических заболеваний, но я был бы благодарен за любую помощь в определении причины моих симптомов.",анемия
"Здравствуйте, я не очень хорошо себя чувствую. У меня были проблемы с головой и рукой сегодня утром. Я почувствовал, что у меня не получается держать предметы в руке и говорить было труднее, чем обычно. Я не испытывал головокружения или тошноты, и мои глаза не зрительно не светились. Такое у меня впервые, но я чувствую, что моё состояние ухудшается. Я не могу назвать свой диагноз, но у меня нет никаких хронических заболеваний, которые могут привести к этой проблеме. Симптомы начали появляться сегодня утром, и они кажутся все чаще и сильнее. Я очень надеюсь, что вы сможете мне помочь.",гастрит
"Здравствуйте, я не чувствую себя хорошо. У меня болит горло и трудно глотать. Я также ощущаю общую слабость и усталость. Симптомы начали проявляться несколько дней назад, но ухудшение произошло вчера. Я не страдаю хроническими заболеваниями, которые могут быть связаны со мной состоянием.",инсульт
"Здравствуйте, я чувствую себя довольно плохо. У меня неприятные ощущения в груди и сердце бьется очень быстро. Я также испытываю головокружение и усталость. Проявления начались несколько дней назад, а с каждым днем только усиливаются. Я не страдаю от хронических заболеваний, которые могут быть связаны с этим. Буду благодарен, если вы мне поможете.",ангина
"Здравствуйте, я не чувствую себя очень хорошо. У меня была высокая температура, сильный кашель и насморк. Также я заметил появление красной сыпи на теле. Я чувствую слабость и усталость. Начало симптомов было около недели назад, и они продолжали усиливаться со временем. Я не страдаю хроническими заболеваниями, но могу предположить, что это может быть связано с моей работой, так как много общаюсь с людьми.",корь
"Здравствуйте. Я себя чувствую не очень хорошо. У меня болит ухо, чувствую давление и слышу звуки, которых обычно не слышу. Также у меня небольшая температура и головная боль. Начало болезни было два дня назад и с каждым днем все хуже. Я раньше не сталкивался с такими симптомами, но хронических заболеваний у меня нет. Буду рад, если вы сможете мне помочь. Спасибо.",ветрянка
"Здравствуйте, я пришел на прием, потому что я чувствую себя не очень хорошо. Сначала у меня возникли сыпь и зуд, а затем появились пузырьки на коже. У меня также болит голова и поднимается температура. Я не могу точно сказать, когда начали проявляться первые симптомы, но они появились несколько дней назад и за последние пару дней ухудшились. У меня нет хронических заболеваний, которые бы могли связаться с моим состоянием. Больше ничего не заметил.",цистит
"Здравствуйте, я пришел на первичный прием. Я чувствую себя не очень хорошо, у меня болит живот и мне неудобно после еды. Проявлялись такие симптомы как тошнота, рвота, изжога, но сейчас их нет. Я не помню, когда начали проявляться первые симптомы, это происходило постепенно. В последнее время у меня было ухудшение состояния, но не слишком сильное. У меня нет хронических заболеваний, которые могут быть связаны с этим.",тахикардия
"Привет, я чувствую себя довольно усталым и слабым, в последнее время у меня была низкая энергия и я часто чувствовал себя измотанным. Я заметил, что мои губы и кожа стали более бледными и я часто чувствую себя запыхавшимся после малейшего усилия. Я не испытываю болей, тошноту или рвоту, и мне не было болей в желудке. Мои симптомы стали заметны примерно месяц назад и постепенно усиливались в течение последних недель. У меня нет хронических заболеваний, которые я знаю, но я слышал, что анемия может быть связана с другими состояниями.",отит
"Добрый день, я не совсем понимаю, что со мной происходит. Я чувствую себя очень плохо, у меня слабость в левой руке и ноге, а также затрудненная речь. Я не могу поднять руку и ногу, как обычно, и говорю нечетко. Также у меня мелькают перед глазами яркие точки. Я никогда раньше не испытывал подобных симптомов. Я не знаю, что это может быть, но я начал замечать эти симптомы только сегодня утром, когда проснулся. Мое состояние ухудшается с каждой минутой, поэтому я обратился к вам в надежде на помощь. Кроме того, я страдаю диабетом, который является хроническим заболеванием и может быть связан с моим состоянием.",анемия
"Здравствуйте, я сегодня пришел на первичный прием. Чувствую себя не очень хорошо, есть некоторые проблемы с мочеиспусканием. Не могу сказать, что очень больно, но все же это причиняет дискомфорт. Проявлялась небольшая боль внизу живота и частое желание мочиться. Однако, кровь в моче и высокая температура не были замечены. Эти симптомы начали проявляться несколько дней назад и в последние дни ухудшение моего состояния не наблюдалось. Хотел бы также упомянуть, что у меня есть хроническое заболевание почек, но мне кажется, что симптомы, которые я ощущаю, не связаны с этой проблемой. Спасибо за внимание.",гастрит
"Здравствуйте, я пришел на первичный прием. Сейчас я чувствую дискомфорт в правом ухе, он часто заложен и слышу хуже, чем обычно. Также я испытываю небольшую боль в ухе и слышу шум внутри него. У меня не было сильной боли или выделений из уха. Я заметил первые симптомы неделю назад, но они постепенно усиливались. У меня нет хронических заболеваний, которые могут быть связаны с этим, так что я не уверен, что это может быть.",инсульт
"Здравствуйте, я чувствую дискомфорт в области мочевого пузыря и постоянную необходимость ходить в туалет. Симптомы начали проявляться несколько дней назад, и с тех пор они не улучшаются. Я не замечал крови в моче, но иногда бывает боль при мочеиспускании. Я не страдаю хроническими заболеваниями, которые могут быть связаны с этими симптомами. Я надеюсь, что вы сможете мне помочь разобраться в причинах моего дискомфорта и предложить лечение.",ангина
"Здравствуйте, я хотел бы рассказать о своем состоянии. Я не чувствую себя хорошо уже несколько дней. У меня высокая температура, появилась сильная кашель и насморк. Также у меня появилась сыпь на коже, которая не пропадает уже несколько дней. Я не замечал никаких других симптомов, таких как боль в горле или желудке. Симптомы начали проявляться около недели назад и ухудшались с каждым днем. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим нынешним состоянием.",корь
"Здравствуйте, я не очень хорошо себя чувствую. У меня болит живот и я чувствую дискомфорт после еды. У меня также были тошнота, рвота и изжога. Я не замечал каких-либо кровяных выделений в стуле или болей в мышцах. Я заметил первые симптомы примерно неделю назад и с тех пор они не проходят. Мое состояние ухудшалось постепенно, и я начал обращать на это внимание только на днях. Я также хотел бы отметить, что у меня есть хронические заболевания, связанные с желудочно-кишечным трактом.",ветрянка
"Привет, я пришел на прием, потому что не чувствую себя хорошо. У меня болит горло, трудно глотать и есть, температура тела поднялась. Я чувствую слабость и усталость, и это мешает мне работать и заниматься обычными делами. Я не заметил наличия кашля или заложенности носа. Первые симптомы появились пару дней назад, и с тех пор мое состояние только ухудшалось. У меня нет хронических заболеваний, которые могут быть связаны с этим. Я надеюсь, что вы сможете помочь мне вылечиться и вернуться к своим обычным делам.",цистит
"Здравствуйте, я пришел на прием, потому что чувствую себя не очень хорошо. У меня были высыпания на коже, которые были очень зудящими и болезненными. Я также испытывал некоторые симптомы, такие как головная боль и небольшая лихорадка. Я заметил первые симптомы примерно неделю назад, и с тех пор мое состояние ухудшалось. Я не страдаю хроническими заболеваниями, которые могут быть связаны с этим, и мне не было других симптомов, таких как кашель или насморк. Я надеюсь, что вы сможете мне помочь разобраться в моей ситуации. Спасибо.",тахикардия
"Здравствуйте, я сейчас чувствую себя не очень хорошо. Не могу поднять левую руку, она как-то не слушается меня. Также у меня есть проблемы с речью, слова не очень получается произносить. Но я не испытываю головокружения или тошноты. Симптомы начались внезапно, несколько часов назад. Я думал, что это пройдет быстро, но улучшений не происходит. У меня нет хронических заболеваний, которые могут быть связаны с этим, но я раньше никогда не испытывал подобных симптомов. Я был озабочен тем, что это может быть серьезным, поэтому решил обратиться к вам.",отит
"Здравствуйте, я себя не очень хорошо чувствую в последнее время. Ощущаю постоянную усталость и слабость, даже когда высыпаюсь и не делаю особых физических усилий. Заметил, что моя кожа стала бледнее, а волосы и ногти ломкие. Недавно заметил, что у меня началась одышка, особенно при физической нагрузке. Но болей в животе, головной боли или рвоты у меня не было. Я не помню точно, когда начались первые симптомы, но общее ухудшение состояния происходит уже несколько недель. У меня есть диагноз хронического гастрита, но не уверен, может ли он быть связан с моими симптомами.",анемия
"Здравствуйте, я не знаю, что со мной происходит. Я чувствую сильное сердцебиение и затруднения с дыханием. Началось это пару дней назад и с тех пор не уходит. Мне кажется, что обычные дела и прогулки стали для меня труднее. У меня не было резкой боли в груди или головокружения, но я чувствую себя очень беспокойно и тревожно. Я раньше не сталкивался с подобными симптомами, но у меня есть диагноз гипертонии и диабета. Я очень переживаю и хочу понять, что происходит со мной и как мне помочь справиться с этим состоянием.",гастрит
"Здравствуйте, я пришел на первичный прием. Чувствую себя не очень хорошо, горло болит, температура немного повышена, есть легкое затруднение при глотании. Начало проявления симптомов было примерно 2-3 дня назад, но в последние 24 часа они стали сильнее. У меня нет кашля или насморка, но заметил легкую усталость и слабость. У меня нет хронических заболеваний, которые могли бы быть связаны с этой проблемой.",инсульт
"Здравствуйте! Сейчас я чувствую дискомфорт в ухе и легкую боль. Заметил, что у меня немного повысилась температура, но больше никаких симптомов не замечал. Симптомы начали проявляться несколько дней назад, когда я заметил, что у меня начало болеть ухо. Постепенно боль стала чувствоваться сильнее, но пока не сильно мешает в моей повседневной жизни. У меня нет хронических заболеваний, которые могут быть связаны с этим.",ангина
"Привет, я чувствую себя не очень хорошо. У меня была высокая температура и появились сыпь и зуд. Я заметил, что у меня нет аппетита и я чувствую слабость. Симптомы появились примерно неделю назад, и с тех пор они только ухудшались. Я не знаю, может ли это быть связано с моими хроническими заболеваниями, так что я пришел к вам на прием, чтобы понять, что происходит. Я надеюсь, что вы сможете помочь мне разобраться в моем состоянии.",корь
"Здравствуйте, я чувствую себя не очень хорошо. У меня болит живот и иногда возникают тошнота и рвота. Я заметил, что у меня нет аппетита и я быстро насыщаюсь, а после еды чувствую тяжесть в желудке. Я не заметил у себя кровяных примесей в стуле. Симптомы начались пару недель назад и постепенно ухудшались. У меня нет хронических заболеваний, которые могут быть связаны с этим.",ветрянка
"Здравствуйте, я чувствую себя не очень хорошо. У меня появились сильные симптомы - кашель, насморк, высокая температура, и я заметил красные пятна на коже. Эти симптомы продолжались несколько дней и не улучшаются. Я не заметил симптомов, связанных с диареей или рвотой. Началось все несколько дней назад и с каждым днем мое состояние ухудшается. Я раньше не болел корью. У меня есть другие хронические заболевания, но я не уверен, связаны ли они с моей текущей болезнью.",цистит
